date,close,volume,open,high,low
4/17/17,147.31,3467600,145.9,147.31,145.76
4/13/17,145.91,2329537,146.42,147.01,145.87
4/12/17,146.54,4444996,147.42,147.57,146.367
4/11/17,148.2,2844788,147.91,148.65,147.1
4/10/17,148.21,5043053,146.96,148.995,146.75
4/7/17,147.13,2869103,147.1,147.8,146.9
4/6/17,147.24,2699646,147.04,147.96,147
4/5/17,146.64,3388961,146.63,148.44,146.58
4/4/17,146.34,3124198,146.5,146.9,146.05
4/3/17,146.62,3775271,146.94,147.2005,146.09
3/31/17,146.83,3248666,146.87,147.18,146.65
3/30/17,146.95,2450779,146.72,147.38,146.43
3/29/17,147.04,3729969,146.37,147.42,145.96
3/28/17,147.2,4635498,147.29,147.35,145.94
3/27/17,146.87,2943004,147.07,147.68,146.26
3/24/17,147.71,4735350,147.85,150.15,147.01
3/23/17,147.99,3219051,147.28,148.41,147.03
3/22/17,147.36,3166437,146.73,147.93,146.06
3/21/17,146.61,4523257,148.33,148.7,146.26
3/20/17,147.8,5905859,149.38,149.59,147.7
3/17/17,149.6,8994811,149.4,149.99,148.13
3/16/17,148.73,3542308,148.4,149.19,148.01
3/15/17,147.95,3669998,147.35,148.38,146.76
3/14/17,147.16,3272674,147.27,147.59,146.46
3/13/17,147.43,2814961,147.33,147.67,146.5
3/10/17,146.85,3122443,147.24,147.46,146.45
3/9/17,146.62,3594664,147.08,147.16,146.53
3/8/17,146.92,3611512,146.22,147.12,145.92
3/7/17,146.02,3995889,146.33,146.95,145.83
3/6/17,147.13,3994425,147.13,147.51,146.58
3/3/17,147.81,3413198,148.12,148.26,146.82
3/2/17,147.95,4046550,147.08,148.23,146.3886
3/1/17,146.68,6213340,146.72,147.6999,145.891
2/28/17,144.91,4211164,144.98,145.63,144.465
2/27/17,145.3,4381787,145.87,146.01,144.8
2/24/17,145.95,3511799,144.65,146.0799,144.65
2/23/17,144.71,4182642,146.11,146.33,144.51
2/22/17,145.25,5037239,145.05,145.47,143.97
2/21/17,145.02,9274546,145.6,145.65,143.25
2/17/17,143,5079322,141.36,143.12,141
2/16/17,141.54,4295367,142.39,142.985,140.9
2/15/17,142.19,4343492,141.27,142.66,140.95
2/14/17,141.36,4775120,139.95,141.365,139.34
2/13/17,139.87,2753063,140.48,140.65,139.05
2/10/17,139.85,3296663,138.6,140.57,138.245
2/9/17,138.71,2931853,137.78,139.15,137.41
2/8/17,137.88,2879047,136.89,137.91,136.82
2/7/17,136.65,3239015,137.16,137.7,136.33
2/6/17,136.49,3863055,137.43,137.9,136.45
2/3/17,137.98,2653721,137.26,138.47,136.97
2/2/17,136.95,2195067,137.47,137.55,136.56
2/1/17,137.44,2959601,137.66,137.96,136.53
1/31/17,137.58,3225224,137.63,138.615,136.85
1/30/17,138.47,2704897,137.99,138.49,136.86
1/27/17,138.33,3145823,138.8,138.83,137.7
1/26/17,138.46,2931349,138.01,139.18,137.71
1/25/17,137.48,3630775,138.45,139.37,137.43
1/24/17,138.06,4050949,137.88,138.38,137.3
1/23/17,138.07,7037949,135.31,138.27,135
1/20/17,135.6,4853602,135.26,136,134.6
1/19/17,135.39,5078525,136,136.78,134.93
1/18/17,136.16,3869676,135.9,136.295,134.92
1/17/17,135.93,3976936,135.09,136.48,134.76
1/13/17,135.04,3117699,134.92,135.75,134.76
1/12/17,135.07,3600179,135.51,135.53,133.94
1/11/17,135.7,4641181,136.1,136.385,134.74
1/10/17,136.1,5927979,134,136.38,133.77
1/9/17,134.31,4307454,133.22,134.76,133.14
1/6/17,133.53,3824085,133.97,134.33,133.05
1/5/17,133.9,3713445,134.98,135.46,133.7801
1/4/17,135.5,4050888,134.34,135.94,134.21
1/3/17,134.31,5300408,135.1,135.51,133.589
12/30/16,134.08,4149055,135.64,135.82,133.83
12/29/16,135.1,2777884,135.02,135.8499,134.63
12/28/16,135.07,3321745,135.57,135.86,134.66
12/27/16,135.26,2254679,134.76,135.72,134.71
12/23/16,135.05,2337535,135.65,135.99,134.79
12/22/16,135.43,4094479,136.25,137,135.18
12/21/16,136.83,2705503,136.93,137.24,136.56
12/20/16,137.11,4300362,135.65,137.24,135.43
12/19/16,135.44,3460703,135.06,136.5,134.79
